Ticker,ATOS_Universe,Priority
AAPL,Hybrid / Portfolio,1
MSFT,Hybrid / Portfolio,2
NVDA,Swing / Momentum,3
AMZN,Hybrid / Portfolio,4
GOOGL,Hybrid / Portfolio,5
GOOG,Hybrid / Portfolio,6
META,Hybrid / Portfolio,7
AVGO,Swing / Momentum,8
TSLA,Swing / Momentum,9
BRK-B,Hybrid / Portfolio,10
JPM,Hybrid / Portfolio,11
V,Hybrid / Portfolio,12
MA,Hybrid / Portfolio,13
NFLX,Hybrid / Portfolio,14
COST,Hybrid / Portfolio,15
WMT,Hybrid / Portfolio,16
ORCL,Hybrid / Portfolio,17
LLY,Hybrid / Portfolio,18
JNJ,Hybrid / Portfolio,19
XOM,Hybrid / Portfolio,20
CVX,Hybrid / Portfolio,21
HD,Hybrid / Portfolio,22
PG,Hybrid / Portfolio,23
KO,Hybrid / Portfolio,24
ABBV,Hybrid / Portfolio,25
MRK,Hybrid / Portfolio,26
BAC,Hybrid / Portfolio,27
CRM,Hybrid / Portfolio,28
AMD,Swing / Momentum,29
QCOM,Swing / Momentum,30
CSCO,Hybrid / Portfolio,31
ACN,Hybrid / Portfolio,32
MCD,Hybrid / Portfolio,33
GE,Hybrid / Portfolio,34
CAT,Hybrid / Portfolio,35
IBM,Hybrid / Portfolio,36
ADBE,Hybrid / Portfolio,37
INTU,Hybrid / Portfolio,38
NOW,Hybrid / Portfolio,39
TXN,Hybrid / Portfolio,40
AMAT,Hybrid / Portfolio,41
MU,Swing / Momentum,42
LRCX,Hybrid / Portfolio,43
KLAC,Hybrid / Portfolio,44
PANW,Swing / Momentum,45
CRWD,Swing / Momentum,46
PLTR,Swing / Momentum,47
SNOW,Swing / Momentum,48
UBER,Swing / Momentum,49
ABNB,Hybrid / Portfolio,50
SHOP,Swing / Momentum,51
ISRG,Hybrid / Portfolio,52
TJX,Hybrid / Portfolio,53
LOW,Hybrid / Portfolio,54
BKNG,Hybrid / Portfolio,55
SBUX,Hybrid / Portfolio,56
NKE,Hybrid / Portfolio,57
TMO,Hybrid / Portfolio,58
DHR,Hybrid / Portfolio,59
