Ticker,ATOS_Universe,Priority
AAPL,Hybrid / Portfolio,1
MSFT,Hybrid / Portfolio,2
NVDA,Swing / Momentum,3
AMZN,Hybrid / Portfolio,4
GOOGL,Hybrid / Portfolio,5
GOOG,Hybrid / Portfolio,6
META,Hybrid / Portfolio,7
AVGO,Swing / Momentum,8
TSLA,Swing / Momentum,9
BRK-B,Hybrid / Portfolio,10
JPM,Hybrid / Portfolio,11
V,Hybrid / Portfolio,12
MA,Hybrid / Portfolio,13
NFLX,Hybrid / Portfolio,14
COST,Hybrid / Portfolio,15
WMT,Hybrid / Portfolio,16
ORCL,Hybrid / Portfolio,17
LLY,Hybrid / Portfolio,18
HD,Hybrid / Portfolio,19
PG,Hybrid / Portfolio,20
KO,Hybrid / Portfolio,21
CRM,Hybrid / Portfolio,22
AMD,Swing / Momentum,23
QCOM,Swing / Momentum,24
CSCO,Hybrid / Portfolio,25
ACN,Hybrid / Portfolio,26
MCD,Hybrid / Portfolio,27
GE,Hybrid / Portfolio,28
CAT,Hybrid / Portfolio,29
IBM,Hybrid / Portfolio,30
ADBE,Hybrid / Portfolio,31
INTU,Hybrid / Portfolio,32
NOW,Hybrid / Portfolio,33
TXN,Hybrid / Portfolio,34
AMAT,Hybrid / Portfolio,35
MU,Swing / Momentum,36
LRCX,Hybrid / Portfolio,37
KLAC,Hybrid / Portfolio,38
PANW,Swing / Momentum,39
CRWD,Swing / Momentum,40
PLTR,Swing / Momentum,41
SNOW,Swing / Momentum,42
UBER,Swing / Momentum,43
ABNB,Hybrid / Portfolio,44
SHOP,Swing / Momentum,45
ISRG,Hybrid / Portfolio,46
TJX,Hybrid / Portfolio,47
LOW,Hybrid / Portfolio,48
BKNG,Hybrid / Portfolio,49
SBUX,Hybrid / Portfolio,50
NKE,Hybrid / Portfolio,51
TMO,Hybrid / Portfolio,52
DHR,Hybrid / Portfolio,53
UNH,Hybrid / Portfolio,54
AMGN,Hybrid / Portfolio,55
GILD,Hybrid / Portfolio,56
CVS,Hybrid / Portfolio,57
CI,Hybrid / Portfolio,58
MDT,Hybrid / Portfolio,59
