RSI_ENTRY,DIP_PCT,VOL_MULT,STOP_PCT,MAX_POSITIONS,SLEEVE_DD_CAP,sharpe,win_rate,max_dd,cagr,n_trades,passed
28,0.04,1.5,0.04,2,0.1,0.645,0.6,0.103,0.043,15,0
28,0.04,1.5,0.04,2,0.15,0.241,0.529,0.156,0.015,17,0
28,0.04,1.5,0.04,2,0.2,-0.212,0.45,0.223,-0.021,20,0
28,0.04,1.5,0.04,3,0.1,0.332,0.542,0.132,0.02,24,0
28,0.04,1.5,0.04,3,0.15,1.067,0.625,0.154,0.092,48,1
28,0.04,1.5,0.04,3,0.2,1.067,0.625,0.154,0.092,48,1
28,0.04,1.5,0.05,2,0.1,0.535,0.6,0.115,0.035,15,0
28,0.04,1.5,0.05,2,0.15,1.138,0.667,0.141,0.127,33,1
28,0.04,1.5,0.05,2,0.2,1.138,0.667,0.141,0.127,33,1
28,0.04,1.5,0.05,3,0.1,1.34,0.682,0.119,0.116,44,1
28,0.04,1.5,0.05,3,0.15,1.34,0.682,0.119,0.116,44,1
28,0.04,1.5,0.05,3,0.2,1.34,0.682,0.119,0.116,44,1
28,0.04,1.5,0.06,2,0.1,0.571,0.6,0.115,0.038,15,0
28,0.04,1.5,0.06,2,0.15,1.179,0.676,0.141,0.133,34,1
28,0.04,1.5,0.06,2,0.2,1.179,0.676,0.141,0.133,34,1
28,0.04,1.5,0.06,3,0.1,1.331,0.682,0.119,0.116,44,1
28,0.04,1.5,0.06,3,0.15,1.331,0.682,0.119,0.116,44,1
28,0.04,1.5,0.06,3,0.2,1.331,0.682,0.119,0.116,44,1
28,0.04,1.8,0.04,2,0.1,1.032,0.593,0.135,0.089,27,1
28,0.04,1.8,0.04,2,0.15,1.032,0.593,0.135,0.089,27,1
28,0.04,1.8,0.04,2,0.2,1.032,0.593,0.135,0.089,27,1
28,0.04,1.8,0.04,3,0.1,-0.029,0.421,0.101,-0.003,19,0
28,0.04,1.8,0.04,3,0.15,0.764,0.562,0.125,0.052,32,0
28,0.04,1.8,0.04,3,0.2,0.764,0.562,0.125,0.052,32,0
28,0.04,1.8,0.05,2,0.1,1.139,0.64,0.11,0.099,25,1
28,0.04,1.8,0.05,2,0.15,1.139,0.64,0.11,0.099,25,1
28,0.04,1.8,0.05,2,0.2,1.139,0.64,0.11,0.099,25,1
28,0.04,1.8,0.05,3,0.1,0.85,0.6,0.108,0.058,30,1
28,0.04,1.8,0.05,3,0.15,0.798,0.581,0.114,0.057,31,0
28,0.04,1.8,0.05,3,0.2,0.798,0.581,0.114,0.057,31,0
28,0.04,1.8,0.06,2,0.1,1.11,0.625,0.11,0.096,24,1
28,0.04,1.8,0.06,2,0.15,1.11,0.625,0.11,0.096,24,1
28,0.04,1.8,0.06,2,0.2,1.11,0.625,0.11,0.096,24,1
28,0.04,1.8,0.06,3,0.1,0.985,0.6,0.108,0.069,30,1
28,0.04,1.8,0.06,3,0.15,0.88,0.567,0.114,0.063,30,1
28,0.04,1.8,0.06,3,0.2,0.88,0.567,0.114,0.063,30,1
28,0.04,2.0,0.04,2,0.1,-0.338,0.3,0.11,-0.019,10,0
28,0.04,2.0,0.04,2,0.15,0.069,0.429,0.11,0.002,14,0
28,0.04,2.0,0.04,2,0.2,0.069,0.429,0.11,0.002,14,0
28,0.04,2.0,0.04,3,0.1,-0.297,0.308,0.108,-0.015,13,0
28,0.04,2.0,0.04,3,0.15,0.007,0.412,0.109,-0.001,17,0
28,0.04,2.0,0.04,3,0.2,0.007,0.412,0.109,-0.001,17,0
28,0.04,2.0,0.05,2,0.1,0.427,0.5,0.11,0.026,14,0
28,0.04,2.0,0.05,2,0.15,0.427,0.5,0.11,0.026,14,0
28,0.04,2.0,0.05,2,0.2,0.427,0.5,0.11,0.026,14,0
28,0.04,2.0,0.05,3,0.1,0.296,0.471,0.108,0.015,17,0
28,0.04,2.0,0.05,3,0.15,0.296,0.471,0.108,0.015,17,0
28,0.04,2.0,0.05,3,0.2,0.296,0.471,0.108,0.015,17,0
28,0.04,2.0,0.06,2,0.1,0.457,0.462,0.11,0.028,13,0
28,0.04,2.0,0.06,2,0.15,0.457,0.462,0.11,0.028,13,0
28,0.04,2.0,0.06,2,0.2,0.457,0.462,0.11,0.028,13,0
28,0.04,2.0,0.06,3,0.1,0.431,0.471,0.108,0.022,17,0
28,0.04,2.0,0.06,3,0.15,0.431,0.471,0.108,0.022,17,0
28,0.04,2.0,0.06,3,0.2,0.431,0.471,0.108,0.022,17,0
28,0.05,1.5,0.04,2,0.1,0.661,0.571,0.103,0.045,14,0
28,0.05,1.5,0.04,2,0.15,0.264,0.5,0.156,0.017,16,0
28,0.05,1.5,0.04,2,0.2,-0.183,0.421,0.223,-0.019,19,0
28,0.05,1.5,0.04,3,0.1,-0.269,0.368,0.133,-0.022,19,0
28,0.05,1.5,0.04,3,0.15,0.606,0.55,0.154,0.051,40,0
28,0.05,1.5,0.04,3,0.2,0.606,0.55,0.154,0.051,40,0
28,0.05,1.5,0.05,2,0.1,0.535,0.571,0.115,0.036,14,0
28,0.05,1.5,0.05,2,0.15,1.261,0.667,0.141,0.141,30,1
28,0.05,1.5,0.05,2,0.2,1.261,0.667,0.141,0.141,30,1
28,0.05,1.5,0.05,3,0.1,1.191,0.658,0.119,0.111,38,1
28,0.05,1.5,0.05,3,0.15,1.191,0.658,0.119,0.111,38,1
28,0.05,1.5,0.05,3,0.2,1.191,0.658,0.119,0.111,38,1
28,0.05,1.5,0.06,2,0.1,0.473,0.538,0.115,0.031,13,0
28,0.05,1.5,0.06,2,0.15,1.194,0.655,0.141,0.131,29,1
28,0.05,1.5,0.06,2,0.2,1.194,0.655,0.141,0.131,29,1
28,0.05,1.5,0.06,3,0.1,1.179,0.658,0.119,0.111,38,1
28,0.05,1.5,0.06,3,0.15,1.179,0.658,0.119,0.111,38,1
28,0.05,1.5,0.06,3,0.2,1.179,0.658,0.119,0.111,38,1
28,0.05,1.8,0.04,2,0.1,0.92,0.591,0.13,0.075,22,1
28,0.05,1.8,0.04,2,0.15,0.92,0.591,0.13,0.075,22,1
28,0.05,1.8,0.04,2,0.2,0.92,0.591,0.13,0.075,22,1
28,0.05,1.8,0.04,3,0.1,0.69,0.56,0.116,0.042,25,0
28,0.05,1.8,0.04,3,0.15,0.69,0.56,0.116,0.042,25,0
28,0.05,1.8,0.04,3,0.2,0.69,0.56,0.116,0.042,25,0
28,0.05,1.8,0.05,2,0.1,1.073,0.65,0.105,0.09,20,1
28,0.05,1.8,0.05,2,0.15,1.073,0.65,0.105,0.09,20,1
28,0.05,1.8,0.05,2,0.2,1.073,0.65,0.105,0.09,20,1
28,0.05,1.8,0.05,3,0.1,0.727,0.583,0.105,0.047,24,0
28,0.05,1.8,0.05,3,0.15,0.727,0.583,0.105,0.047,24,0
28,0.05,1.8,0.05,3,0.2,0.727,0.583,0.105,0.047,24,0
28,0.05,1.8,0.06,2,0.1,1.155,0.65,0.105,0.097,20,1
28,0.05,1.8,0.06,2,0.15,1.155,0.65,0.105,0.097,20,1
28,0.05,1.8,0.06,2,0.2,1.155,0.65,0.105,0.097,20,1
28,0.05,1.8,0.06,3,0.1,0.704,0.565,0.105,0.045,23,0
28,0.05,1.8,0.06,3,0.15,0.704,0.565,0.105,0.045,23,0
28,0.05,1.8,0.06,3,0.2,0.704,0.565,0.105,0.045,23,0
28,0.05,2.0,0.04,2,0.1,-0.464,0.222,0.11,-0.026,9,0
28,0.05,2.0,0.04,2,0.15,0.089,0.417,0.11,0.003,12,0
28,0.05,2.0,0.04,2,0.2,0.089,0.417,0.11,0.003,12,0
28,0.05,2.0,0.04,3,0.1,-0.175,0.385,0.1,-0.009,13,0
28,0.05,2.0,0.04,3,0.15,-0.175,0.385,0.1,-0.009,13,0
28,0.05,2.0,0.04,3,0.2,-0.175,0.385,0.1,-0.009,13,0
28,0.05,2.0,0.05,2,0.1,0.448,0.5,0.11,0.027,12,0
28,0.05,2.0,0.05,2,0.15,0.448,0.5,0.11,0.027,12,0
28,0.05,2.0,0.05,2,0.2,0.448,0.5,0.11,0.027,12,0
28,0.05,2.0,0.05,3,0.1,0.153,0.462,0.099,0.006,13,0
28,0.05,2.0,0.05,3,0.15,0.153,0.462,0.099,0.006,13,0
28,0.05,2.0,0.05,3,0.2,0.153,0.462,0.099,0.006,13,0
28,0.05,2.0,0.06,2,0.1,0.655,0.545,0.105,0.041,11,0
28,0.05,2.0,0.06,2,0.15,0.655,0.545,0.105,0.041,11,0
28,0.05,2.0,0.06,2,0.2,0.655,0.545,0.105,0.041,11,0
28,0.05,2.0,0.06,3,0.1,0.3,0.462,0.099,0.014,13,0
28,0.05,2.0,0.06,3,0.15,0.3,0.462,0.099,0.014,13,0
28,0.05,2.0,0.06,3,0.2,0.3,0.462,0.099,0.014,13,0
28,0.06,1.5,0.04,2,0.1,0.459,0.538,0.103,0.031,13,0
28,0.06,1.5,0.04,2,0.15,-0.042,0.438,0.177,-0.007,16,0
28,0.06,1.5,0.04,2,0.2,-0.337,0.389,0.223,-0.032,18,0
28,0.06,1.5,0.04,3,0.1,-0.173,0.412,0.132,-0.013,17,0
28,0.06,1.5,0.04,3,0.15,0.773,0.583,0.154,0.061,36,0
28,0.06,1.5,0.04,3,0.2,0.773,0.583,0.154,0.061,36,0
28,0.06,1.5,0.05,2,0.1,0.177,0.5,0.115,0.01,12,0
28,0.06,1.5,0.05,2,0.15,1.127,0.679,0.141,0.125,28,1
28,0.06,1.5,0.05,2,0.2,1.127,0.679,0.141,0.125,28,1
28,0.06,1.5,0.05,3,0.1,1.103,0.667,0.119,0.089,33,1
28,0.06,1.5,0.05,3,0.15,1.103,0.667,0.119,0.089,33,1
28,0.06,1.5,0.05,3,0.2,1.103,0.667,0.119,0.089,33,1
28,0.06,1.5,0.06,2,0.1,0.136,0.455,0.115,0.007,11,0
28,0.06,1.5,0.06,2,0.15,1.074,0.667,0.141,0.118,27,1
28,0.06,1.5,0.06,2,0.2,1.074,0.667,0.141,0.118,27,1
28,0.06,1.5,0.06,3,0.1,1.052,0.656,0.119,0.084,32,1
28,0.06,1.5,0.06,3,0.15,1.052,0.656,0.119,0.084,32,1
28,0.06,1.5,0.06,3,0.2,1.052,0.656,0.119,0.084,32,1
