RSI_ENTRY,DIP_PCT,VOL_MULT,STOP_PCT,MAX_POSITIONS,SLEEVE_DD_CAP,sharpe,win_rate,max_dd,cagr,n,passed
28,0.04,1.5,0.04,2,0.1,0.913,0.6,0.103,0.087,15,1
28,0.04,1.5,0.04,2,0.15,0.341,0.529,0.156,0.031,17,0
28,0.04,1.5,0.04,2,0.2,-0.299,0.45,0.223,-0.041,20,0
28,0.04,1.5,0.04,3,0.1,0.47,0.542,0.132,0.04,24,0
28,0.04,1.5,0.04,3,0.15,0.276,0.5,0.154,0.023,28,0
28,0.04,1.5,0.04,3,0.2,0.276,0.5,0.154,0.023,28,0
28,0.04,1.5,0.05,2,0.1,0.757,0.6,0.115,0.071,15,0
28,0.04,1.5,0.05,2,0.15,0.693,0.611,0.141,0.084,18,0
28,0.04,1.5,0.05,2,0.2,0.693,0.611,0.141,0.084,18,0
28,0.04,1.5,0.05,3,0.1,0.787,0.6,0.119,0.078,25,0
28,0.04,1.5,0.05,3,0.15,0.787,0.6,0.119,0.078,25,0
28,0.04,1.5,0.05,3,0.2,0.787,0.6,0.119,0.078,25,0
28,0.04,1.5,0.06,2,0.1,0.808,0.6,0.115,0.077,15,1
28,0.04,1.5,0.06,2,0.15,0.733,0.611,0.141,0.09,18,0
28,0.04,1.5,0.06,2,0.2,0.733,0.611,0.141,0.09,18,0
28,0.04,1.5,0.06,3,0.1,0.747,0.583,0.119,0.073,24,0
28,0.04,1.5,0.06,3,0.15,0.747,0.583,0.119,0.073,24,0
28,0.04,1.5,0.06,3,0.2,0.747,0.583,0.119,0.073,24,0
28,0.04,1.8,0.04,2,0.1,0.366,0.471,0.135,0.031,17,0
28,0.04,1.8,0.04,2,0.15,0.366,0.471,0.135,0.031,17,0
28,0.04,1.8,0.04,2,0.2,0.366,0.471,0.135,0.031,17,0
28,0.04,1.8,0.04,3,0.1,-0.041,0.421,0.101,-0.007,19,0
28,0.04,1.8,0.04,3,0.15,0.027,0.429,0.125,-0.001,21,0
28,0.04,1.8,0.04,3,0.2,0.027,0.429,0.125,-0.001,21,0
28,0.04,1.8,0.05,2,0.1,0.431,0.5,0.11,0.037,14,0
28,0.04,1.8,0.05,2,0.15,0.431,0.5,0.11,0.037,14,0
28,0.04,1.8,0.05,2,0.2,0.431,0.5,0.11,0.037,14,0
28,0.04,1.8,0.05,3,0.1,0.074,0.444,0.108,0.003,18,0
28,0.04,1.8,0.05,3,0.15,0.04,0.421,0.114,-0.0,19,0
28,0.04,1.8,0.05,3,0.2,0.04,0.421,0.114,-0.0,19,0
28,0.04,1.8,0.06,2,0.1,0.528,0.5,0.11,0.048,14,0
28,0.04,1.8,0.06,2,0.15,0.528,0.5,0.11,0.048,14,0
28,0.04,1.8,0.06,2,0.2,0.528,0.5,0.11,0.048,14,0
28,0.04,1.8,0.06,3,0.1,0.336,0.444,0.108,0.025,18,0
28,0.04,1.8,0.06,3,0.15,0.289,0.421,0.114,0.022,19,0
28,0.04,1.8,0.06,3,0.2,0.289,0.421,0.114,0.022,19,0
28,0.04,2.0,0.04,2,0.1,-0.479,0.3,0.11,-0.038,10,0
28,0.04,2.0,0.04,2,0.15,-0.479,0.3,0.11,-0.038,10,0
28,0.04,2.0,0.04,2,0.2,-0.479,0.3,0.11,-0.038,10,0
28,0.04,2.0,0.04,3,0.1,-0.42,0.308,0.108,-0.031,13,0
28,0.04,2.0,0.04,3,0.15,-0.42,0.308,0.108,-0.031,13,0
28,0.04,2.0,0.04,3,0.2,-0.42,0.308,0.108,-0.031,13,0
28,0.04,2.0,0.05,2,0.1,0.13,0.4,0.11,0.007,10,0
28,0.04,2.0,0.05,2,0.15,0.13,0.4,0.11,0.007,10,0
28,0.04,2.0,0.05,2,0.2,0.13,0.4,0.11,0.007,10,0
28,0.04,2.0,0.05,3,0.1,0.036,0.385,0.108,-0.0,13,0
28,0.04,2.0,0.05,3,0.15,0.036,0.385,0.108,-0.0,13,0
28,0.04,2.0,0.05,3,0.2,0.036,0.385,0.108,-0.0,13,0
28,0.04,2.0,0.06,2,0.1,0.391,0.4,0.11,0.03,10,0
28,0.04,2.0,0.06,2,0.15,0.391,0.4,0.11,0.03,10,0
28,0.04,2.0,0.06,2,0.2,0.391,0.4,0.11,0.03,10,0
28,0.04,2.0,0.06,3,0.1,0.24,0.385,0.108,0.015,13,0
28,0.04,2.0,0.06,3,0.15,0.24,0.385,0.108,0.015,13,0
28,0.04,2.0,0.06,3,0.2,0.24,0.385,0.108,0.015,13,0
28,0.05,1.5,0.04,2,0.1,0.936,0.571,0.103,0.091,14,1
28,0.05,1.5,0.04,2,0.15,0.373,0.5,0.156,0.035,16,0
28,0.05,1.5,0.04,2,0.2,-0.259,0.421,0.223,-0.037,19,0
28,0.05,1.5,0.04,3,0.1,-0.381,0.368,0.133,-0.043,19,0
28,0.05,1.5,0.04,3,0.15,-0.495,0.348,0.154,-0.059,23,0
28,0.05,1.5,0.04,3,0.2,-0.495,0.348,0.154,-0.059,23,0
28,0.05,1.5,0.05,2,0.1,0.757,0.571,0.115,0.073,14,0
28,0.05,1.5,0.05,2,0.15,0.697,0.588,0.141,0.086,17,0
28,0.05,1.5,0.05,2,0.2,0.697,0.588,0.141,0.086,17,0
28,0.05,1.5,0.05,3,0.1,0.429,0.5,0.119,0.043,20,0
28,0.05,1.5,0.05,3,0.15,0.429,0.5,0.119,0.043,20,0
28,0.05,1.5,0.05,3,0.2,0.429,0.5,0.119,0.043,20,0
28,0.05,1.5,0.06,2,0.1,0.669,0.538,0.115,0.062,13,0
28,0.05,1.5,0.06,2,0.15,0.627,0.562,0.141,0.075,16,0
28,0.05,1.5,0.06,2,0.2,0.627,0.562,0.141,0.075,16,0
28,0.05,1.5,0.06,3,0.1,0.455,0.5,0.119,0.047,20,0
28,0.05,1.5,0.06,3,0.15,0.455,0.5,0.119,0.047,20,0
28,0.05,1.5,0.06,3,0.2,0.455,0.5,0.119,0.047,20,0
28,0.05,1.8,0.04,2,0.1,-0.068,0.385,0.13,-0.01,13,0
28,0.05,1.8,0.04,2,0.15,-0.068,0.385,0.13,-0.01,13,0
28,0.05,1.8,0.04,2,0.2,-0.068,0.385,0.13,-0.01,13,0
28,0.05,1.8,0.04,3,0.1,-0.382,0.333,0.116,-0.03,15,0
28,0.05,1.8,0.04,3,0.15,-0.382,0.333,0.116,-0.03,15,0
28,0.05,1.8,0.04,3,0.2,-0.382,0.333,0.116,-0.03,15,0
28,0.05,1.8,0.05,2,0.1,0.224,0.455,0.105,0.017,11,0
28,0.05,1.8,0.05,2,0.15,0.224,0.455,0.105,0.017,11,0
28,0.05,1.8,0.05,2,0.2,0.224,0.455,0.105,0.017,11,0
28,0.05,1.8,0.05,3,0.1,-0.343,0.308,0.105,-0.029,13,0
28,0.05,1.8,0.05,3,0.15,-0.343,0.308,0.105,-0.029,13,0
28,0.05,1.8,0.05,3,0.2,-0.343,0.308,0.105,-0.029,13,0
28,0.05,1.8,0.06,2,0.1,0.268,0.4,0.105,0.021,10,0
28,0.05,1.8,0.06,2,0.15,0.268,0.4,0.105,0.021,10,0
