ticker,entry_date,exit_date,entry_price,exit_price,shares,pnl_net,reason,days_held,entry_rsi
V,2025-06-18,2025-07-03,337.7124938964844,356.04766845703125,444,7894.393895214831,time-stop 10d,9,32.634067013130164
MA,2025-06-20,2025-07-03,528.9536743164062,564.9503173828125,282,9904.268604199227,SMA20 +6.8%,9,23.172679105127955
NFLX,2025-07-18,2025-07-31,120.92400360107422,115.94000244140625,1314,-6797.968966955552,stop-loss -4.1%,9,29.509166222570727
AMAT,2025-07-31,2025-08-12,178.7487335205078,187.07763671875,869,6983.494386682141,SMA20 +4.7%,4,27.62333257499732
EMR,2025-08-06,2025-08-20,131.78628540039062,129.3030242919922,1173,-3157.8714883666835,time-stop 10d,1,29.649863062299858
INTU,2025-08-19,2025-08-22,693.2420654296875,655.2982788085938,227,-8858.134489501943,stop-loss -5.5%,3,19.102902052977726
ORCL,2025-08-29,2025-09-08,223.58169555664062,235.79249572753906,684,8100.817759423837,SMA20 +5.5%,5,27.19463946311913
ABBV,2025-11-03,2025-11-11,207.06431579589844,219.9691925048828,758,9522.943425976584,SMA20 +6.2%,6,26.758429944712006
AXP,2025-11-17,2025-11-25,338.4939880371094,359.7112731933594,477,9854.209891845705,SMA20 +6.3%,6,31.19772776059132
AVGO,2025-12-17,2026-01-02,324.203125,346.3441467285156,514,11104.75613032229,time-stop 10d,10,26.154785194203555
BAC,2026-01-14,2026-01-29,51.915252685546875,52.50879669189453,3318,1692.195816394058,time-stop 10d,7,31.879552200973777
AAPL,2026-01-20,2026-01-29,246.2425079345703,257.801025390625,696,7764.07671005858,SMA20 +4.7%,7,6.4671304291368585
AVGO,2026-02-05,2026-02-06,309.3703918457031,331.6981506347656,572,12478.125062304694,SMA20 +7.2%,1,30.256323638123718
UPS,2026-03-05,2026-03-12,102.34479522705078,96.26724243164062,1790,-11163.23194171142,stop-loss -5.9%,5,24.787858481709662
MCD,2026-03-20,2026-04-06,306.7694396972656,307.67333984375,579,238.7482893310662,time-stop 10d,4,16.78137252494841
MU,2026-03-30,2026-04-08,321.75048828125,406.6674499511719,551,46468.15925295412,SMA20 +26.4%,6,32.246385280428356
RTX,2026-04-22,2026-04-27,180.15956115722656,172.66079711914062,1115,-8675.837662048318,stop-loss -4.2%,3,30.95172377646172
JNJ,2026-04-21,2026-05-05,224.8667755126953,224.26026916503906,893,-862.4665291747951,time-stop 10d,10,17.771481386081604
WMT,2026-05-21,2026-05-29,121.33999633789062,115.75,1617,-9345.723697631824,stop-loss -4.6%,5,31.710151522248765
GOOGL,2026-06-02,2026-06-16,361.6340026855469,373.25,529,5833.8596694091975,time-stop 10d,10,32.601011163805126
AAPL,2026-06-25,2026-07-02,275.1499938964844,308.6300048828125,706,23307.168813037104,SMA20 +12.2%,5,22.904770329844595
CAT,2026-07-29,2026-08-07,782.7100219726562,842.1900024414062,263,15301.355898144539,end-of-period,7,19.65719815541358
MU,2026-07-29,2026-08-07,739.0,877.5700073242188,278,38162.93686650394,end-of-period,7,30.568546618355313
