ticker,entry_date,exit_date,entry_price,exit_price,shares,pnl_net,reason,days_held,entry_rsi,in_range
META,2024-04-26,2024-05-09,439.8973388671875,471.78143310546875,227,7072.128527099616,SMA20 +7.2%,9,22.40221925661875,True
CAT,2024-04-30,2024-05-09,325.0941467285156,341.8167419433594,304,4921.4762171875045,SMA20 +5.1%,7,26.66887753902337,True
NOW,2024-04-30,2024-05-10,138.66600036621094,145.95799255371094,713,5036.840904125973,SMA20 +5.3%,8,28.626176051287956,True
DIS,2024-05-15,2024-05-30,99.96675109863281,98.92594146728516,1057,-1268.3194411682052,time-stop 10d,10,28.14688688775847,True
META,2024-07-17,2024-07-31,458.909423828125,471.6637878417969,229,2750.2683467529423,time-stop 10d,10,32.50529333518065,True
NFLX,2024-07-19,2024-08-02,63.33399963378906,61.36399841308594,1679,-3475.1264005370904,time-stop 10d,10,27.743236183566708,True
MSFT,2024-07-31,2024-08-05,411.87701416015625,389.0359802246094,257,-6034.813433081057,stop-loss -5.5%,3,23.777289607945562,True
BKNG,2024-08-01,2024-08-02,144.21702575683594,130.99057006835938,731,-9829.480510314941,stop-loss -9.2%,1,28.205217917031703,True
BAC,2024-08-02,2024-08-16,35.899024963378906,37.580299377441406,2809,4557.577091442872,time-stop 10d,10,27.05007340220496,True
AAPL,2024-08-05,2024-08-13,207.47279357910156,219.62364196777344,476,5621.16551035158,SMA20 +5.9%,6,18.134258710054638,True
NVDA,2024-08-05,2024-08-13,100.28471374511719,115.94889068603516,985,15258.822206512457,SMA20 +15.6%,6,31.873498830714567,True
AVGO,2024-09-06,2024-09-11,134.47103881835938,155.34841918945312,804,16599.001942968767,SMA20 +15.5%,3,25.545001111922986,True
TSLA,2024-10-11,2024-10-24,217.8000030517578,260.4800109863281,522,22079.234407983415,SMA20 +19.6%,9,31.545159224739947,True
DHR,2024-10-23,2024-10-29,253.03939819335938,239.88333129882812,446,-6043.480664843737,stop-loss -5.2%,4,32.10060736803885,True
SPGI,2024-10-29,2024-11-08,454.2066955566406,469.20233154296875,262,3735.3100963378965,SMA20 +3.3%,8,26.591171482171063,True
LLY,2024-10-30,2024-11-06,836.3326416015625,766.7559204101562,142,-10062.005269824207,stop-loss -8.3%,5,28.198813851480367,True
SBUX,2024-12-16,2024-12-20,89.60523986816406,84.64962005615234,1305,-6649.005928436265,stop-loss -5.5%,4,20.299680206448045,True
GS,2024-12-18,2025-01-03,534.068115234375,563.0694580078125,216,6074.7046664062655,time-stop 10d,10,18.058435351217057,True
ITW,2024-12-19,2025-01-06,247.2382049560547,241.23460388183594,466,-2979.7807637207006,time-stop 10d,10,7.378423700391281,True
ORCL,2025-01-10,2025-01-21,151.88938903808594,169.65406799316406,762,13340.672472363294,SMA20 +11.7%,6,30.43452619455242,True
NFLX,2025-01-10,2025-01-22,83.76899719238281,95.39900207519531,1382,15874.578608056647,RSI 62>60,7,31.27524676543895,True
AAPL,2025-01-21,2025-01-28,221.22657775878906,236.7473907470703,550,8334.938597412125,SMA20 +7.0%,5,16.93754639943468,True
BKNG,2025-01-22,2025-02-05,182.5293426513672,185.6976776123047,688,1977.142301171887,time-stop 10d,10,29.594336742482056,True
AVGO,2025-01-27,2025-02-05,199.58465576171875,229.0784912109375,637,18569.126441455082,SMA20 +14.8%,7,31.60822748443215,True
TSLA,2025-02-11,2025-02-25,328.5,302.79998779296875,411,-10770.276453076163,stop-loss -7.8%,9,18.286344527955265,True
MDT,2025-02-18,2025-02-26,82.0224380493164,86.32035827636719,1690,7035.885723083513,SMA20 +5.2%,6,30.286786112367693,True
CRM,2025-02-26,2025-03-04,303.790771484375,284.0310363769531,440,-8901.196723632806,stop-loss -6.5%,4,17.247475187726494,True
AVGO,2025-02-28,2025-03-03,196.9186248779297,185.010498046875,672,-8207.586326953126,stop-loss -6.0%,1,32.54188009787842,True
AVGO,2025-03-03,2025-03-17,185.010498046875,192.0507354736328,697,4696.79614263917,time-stop 10d,10,18.113750048582503,True
JPM,2025-03-04,2025-03-10,242.8790740966797,225.38014221191406,527,-9419.35518886718,stop-loss -7.2%,4,24.83733686914769,True
NFLX,2025-03-06,2025-03-19,90.63600158691406,95.9489974975586,1386,7156.926885168461,SMA20 +5.9%,9,25.424994579882153,True
ABBV,2025-04-04,2025-04-08,178.13546752929688,167.37835693359375,724,-7988.269678417972,stop-loss -6.0%,2,18.703076423029657,True
ISRG,2025-06-09,2025-06-24,526.1500244140625,523.0800170898438,240,-938.2539257812459,time-stop 10d,10,28.423745371511373,True
V,2025-06-18,2025-07-03,337.7124938964844,356.04766845703125,370,6578.661579345717,time-stop 10d,10,32.634067013130164,True
MA,2025-06-18,2025-07-03,534.6702270507812,564.9503173828125,233,6850.291777880877,time-stop 10d,10,30.504281250921096,True
NFLX,2025-07-18,2025-08-01,120.92400360107422,115.86000061035156,1079,-5668.451179425043,time-stop 10d,10,29.509166222570727,True
AMAT,2025-07-31,2025-08-12,178.7487335205078,187.07763671875,719,5778.0580713745,SMA20 +4.7%,8,27.62333257499732,True
EMR,2025-08-06,2025-08-20,131.78628540039062,129.3030242919922,972,-2616.752844580071,time-stop 10d,10,29.649863062299858,True
DIS,2025-08-07,2025-08-21,111.26880645751953,114.55127716064453,1158,3591.9013487548946,time-stop 10d,10,26.615590355266477,True
INTU,2025-08-19,2025-08-22,693.2420654296875,655.2982788085938,189,-7375.274971435545,stop-loss -5.5%,3,19.102902052977726,True
ORCL,2025-08-29,2025-09-08,223.58169555664062,235.79249572753906,574,6798.054669458012,SMA20 +5.5%,5,27.19463946311913,True
AMD,2025-09-05,2025-09-19,151.13999938964844,157.38999938964844,857,5144.721832836905,time-stop 10d,10,20.64127044529461,True
ABBV,2025-11-03,2025-11-11,207.06431579589844,219.9691925048828,639,8027.916687597666,SMA20 +6.2%,6,26.758429944712006,True
AXP,2025-11-17,2025-11-25,338.4939880371094,359.7112731933594,399,8242.829657958995,SMA20 +6.3%,6,31.19772776059132,True
NVDA,2025-11-21,2025-12-08,178.6521453857422,185.323974609375,764,4874.815322314447,time-stop 10d,10,29.460076243359197,True
AVGO,2025-12-17,2026-01-02,324.203125,346.3441467285156,430,9289.97108178711,time-stop 10d,10,26.154785194203555,True
BAC,2026-01-14,2026-01-29,51.915252685546875,52.50879669189453,2745,1399.9630849914683,time-stop 10d,10,31.879552200973777,True
ISRG,2026-01-16,2026-01-29,535.0,507.54998779296875,267,-7551.8419366698945,stop-loss -5.1%,8,29.970981583214197,True
AAPL,2026-01-20,2026-01-29,246.2425079345703,257.801025390625,574,6403.13222927248,SMA20 +4.7%,7,6.4671304291368585,True
AVGO,2026-02-05,2026-02-06,309.3703918457031,331.6981506347656,461,10056.670723291027,SMA20 +7.2%,1,30.256323638123718,True
UPS,2026-03-05,2026-03-12,102.34479522705078,96.26724243164062,1426,-8893.166898815893,stop-loss -5.9%,5,24.787858481709662,True
CAT,2026-03-20,2026-03-24,678.3278198242188,713.9437866210938,210,7245.451397460944,SMA20 +5.3%,2,29.999993139440193,True
MCD,2026-03-20,2026-04-06,306.7694396972656,307.67333984375,466,192.15320004883688,time-stop 10d,10,16.78137252494841,True
HON,2026-03-20,2026-04-06,231.0323486328125,238.03111267089844,619,4099.95471353762,time-stop 10d,10,19.5921388473769,True
MU,2026-03-30,2026-04-08,321.75048828125,406.6674499511719,452,38119.070748339844,SMA20 +26.4%,6,32.246385280428356,True
JNJ,2026-04-21,2026-05-05,224.8667755126953,224.26026916503906,709,-684.7578602294961,time-stop 10d,10,17.771481386081604,True
RTX,2026-04-22,2026-05-06,180.15956115722656,176.00685119628906,885,-3927.3141353759856,time-stop 10d,10,30.95172377646172,True
MRK,2026-04-30,2026-05-13,108.40046691894531,112.63997650146484,1466,5955.884815930185,SMA20 +3.9%,9,25.924476045347376,True
WMT,2026-05-21,2026-06-01,121.33999633789062,114.5999984741211,1318,-9132.092314978014,stop-loss -5.6%,6,31.710151522248765,True
GOOGL,2026-06-02,2026-06-16,361.6340026855469,373.25,434,4786.191108740255,time-stop 10d,10,32.601011163805126,True
AAPL,2026-06-25,2026-07-02,275.1499938964844,308.6300048828125,576,19015.480504687497,SMA20 +12.2%,5,22.904770329844595,True
GOOGL,2026-06-26,2026-07-01,337.3900146484375,361.2099914550781,474,11025.759884033207,SMA20 +7.1%,3,29.39765993875335,True
CAT,2026-07-29,2026-08-07,782.7100219726562,842.1900024414062,215,12508.712996582035,end-of-backtest,7,19.65719815541358,True
MU,2026-07-29,2026-08-07,739.0,877.5700073242188,228,31299.09930058595,end-of-backtest,7,30.568546618355313,True
